Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes
"Believe in something, stand it up to reason, and let bliss prosper",General,Neutral,Inspirational,General,Anytime Wisdom,66,5,If you have to make it a last stand then at least stand for something; Learn what reason is; Believe in the Jack
"Learn from fear when need be, and overcome it next time",Fear,Neutral,Reflective,General,Anytime Wisdom,55,4.1,Learn to ‘let go' when time mandates it so; Learn what reason is; Help others find love that need it so
If you seek something but cannot find then try asking instead,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Genuine travellers seek to relish most of it all; Try not to worry but strive for your identity; Relinquish not your desired identity, and instead improve on it when you can"
"If you fail to see an afterlife, or better times to be, reason quick for you are in the wrong",General,Neutral,Reflective,General,Anytime Wisdom,93,7,Learn what reason is; Death is no easy way out as the afterlife is never certain as such; If you fail to love but at least one aspect of yourself you may wither away
"When stuck at sea, do not underestimate the gift of the gab",General,Neutral,Advisory,General,Anytime Wisdom,59,4.4,Never underestimate the power of dreams; Don't ever underestimate the might of agility; Do not completely underestimate the wisdom from the past
"Do not openly disbelieve the improbable, assign it a probability instead",General,Neutral,Advisory,General,Anytime Wisdom,72,5.4,"If you seek something but cannot find then try asking instead; Be open to new ideas, but do not openly embrace anything without some skepticism; Most anti-altruists would openly sacrifice their life for their mums - ponder..."
"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key",General,Neutral,Reflective,General,Anytime Wisdom,122,9.2,Time and time again I watch individuals bully others with none intervening - why?; It is not so much to spoil employees with some motivating perks from time to time; Learn to ‘let go' when time mandates it so
Be tolerant to those that choose to harm themselves believing otherwise as long as they are out of sight,General,Neutral,Reflective,General,Anytime Wisdom,104,7.8,Never undermine someone on lesse you do no harm; Believing it is possible takes you most of the way there; The presence of misery cannot be told by sight alone
"Be open to new ideas, but do not openly embrace anything without some skepticism",General,Neutral,Advisory,General,Anytime Wisdom,80,6,Embrace A.I. - think!; You can't learn something new from just about anything; Embrace technology but relish simplicity
"Always pay your dues, ahead of time preferably, because rewards are often associated",General,Neutral,Advisory,General,Anytime Wisdom,84,6.3,"You may not think yourself evil, but ponder every time you put yourself ahead; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key"
Get in the habit of doing some good deeds every once in a while at least - good happens,General,Neutral,Reflective,General,Anytime Wisdom,87,6.5,Never give up the faith in good deeds; Life looks better when good deeds are done with no ill malice; A habit well developed can lead you places
If you aim for perfection in this life mayhap it is only attained at full essence in the next,General,Neutral,Poetic,General,Anytime Wisdom,93,7,"Good timing means absolutely everything when seeking perfection; Some noble ideals are worth pursuing but mayhap not throughout all known territory; In a universe with infinites, no matter what kind, mayhap every religion needs respect"
Respect your elders and love thy parents no matter what as these are traits of nobility,Love,Neutral,Reflective,Relationships,Anytime Wisdom,87,6.5,"Never expect anything from your parents but love; Anyone with the capacity to love deserves some respect; In a universe with infinites, no matter what kind, mayhap every religion needs respect"
Holding dear to some celebrative days are a must for a sense of identity and integrity,Identity,Neutral,Reflective,General,Anytime Wisdom,86,6.5,It may be realised that whatever is most dear is close by already; There was no sense in diversity in the past; Grow to love your identity
"Destined are we, but it is up to you for what in spirit",General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"If incapable to make a difference project your sheer spirit; Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Spirit journeys don't need drugs; it is serendipity and want that leads you there"
Utilize the failures of your life for stories of grandeur when possible,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,A side is always in the wrong if one has to utilize spies; Believing it is possible takes you most of the way there; If time travel is possible it is pre-ordained
Patience is a virtue that is best met when justified,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,A man can be happy with any woman provided all his love needs are met; It is best to live with some values than none; The best people in the world are not full of money but have character
Without expression of wants and needs in a manner befitting thou shall not receive,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,If anything can go wrong rest assured it shall not always or ever be so; Cling to your dignity otherwise you shall become generic; Compare yourself to others only in a noble and just manner - lest you create envy in others
Happiness arises when one frees him/herself from worries - worry not about imperfections and instead capitalize on the true beauty of them,General,Uplifting,Reflective,General,Anytime Wisdom,138,10.4,"If perplexed in worry try to relate with the worries with someone higher up in hierarchy; Happiness is being in harmony; Isolation fosters happiness to some, but misleading is this to those that understand not the incumbent's true hidden psyche"
"Be not embarrassed as to whom you are, but be wary as to who you disclose yourself to",General,Neutral,Reflective,General,Anytime Wisdom,85,6.4,"Be wary of the mentality of a witch that is deranged; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
"There is no shame in living a life of plenty, however not helping others when in position - major shame",General,Neutral,Reflective,General,Anytime Wisdom,103,7.7,There is no shame in living with hoards of wealth selfishly if with ‘good' reason; There is no glory in trespass of the law - just shame; It is always fun helping
"Respect education, but remember also to respect hard labour",General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,Treating others with respect not always gives you respect so learn to be emotive; Respect other's sanctity of being; Respect the good accomplishment of others
"Remember compliments, forget insults but only if untrue and not harmful",General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Forgive but forget not for the sake of wisdom only; Never forget a remembrance day to a loved one; The most unlikely people will remember you for the longest time
"All forms of government work, but to the right people",General,Neutral,Reflective,Human Nature,Anytime Wisdom,53,4,"Most people want to work - there are always jobs with a good government; Do the right thing not for deity alone but because it is right; If you cannot work around the standard times, then make work suit your schedules"
A belief in myths is not altogether foolish if it impacts your next life to be,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Well told urban myths become the myths of the future; A noble belief is usually for a good cause; There is so much beauty and representative truth in myths of old
Being original is not always seen as favourable,General,Neutral,Advisory,General,Anytime Wisdom,47,3.5,If you have not seen nature in purple you are missing out; There is no sense in persecution of a faith that may essentially be seen as roleplaying; Emotional avalanches are seen to occur when a certain frame of mind catches like wildfire
Being humble enhances the appreciation for the finer things - all in time,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"It is awareness of the appreciation of the tiniest things in one that builds kinship; If bored reminiscence on the things you did to pass time when younger; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key"
Never undermine someone on lesse you do no harm,General,Neutral,Advisory,General,Anytime Wisdom,47,3.5,"If megalomaniacs cause no harm they can be tolerable for entertainment reasons; Be tolerant to those that choose to harm themselves believing otherwise as long as they are out of sight; Things always happen for a reason, not necessarily yours on lesse you will it"
"Believe in yourself, but if unable to do so at times then rely on others",General,Neutral,Inspirational,General,Anytime Wisdom,72,5.4,"Believe in the power of good because there is not much else to rely on; Believe in the Jack; Be not stressed if unable to find love, for stress is borrowing problems from thereafter"
If anything can go wrong rest assured it shall not always or ever be so,General,Neutral,Advisory,General,Anytime Wisdom,71,5.3,If you miss a special celebration rest assured you can create your own celebration day; Comparing yourself to others is wrong but we all do it at one point; A side is always in the wrong if one has to utilize spies
You are beautiful no matter how ugly you are labelled - it is all relative to different people,General,Neutral,Reflective,Human Nature,Anytime Wisdom,94,7.1,"Scalp hair is such a beautiful gift to some so make the best out of it; No matter how boring your life is, well told it would be a masterpiece; The only ultimate wisdom knows to be reasonably and rationally relative"
"In a universe with infinites, no matter what kind, mayhap every religion needs respect",General,Neutral,Poetic,General,Anytime Wisdom,86,6.5,Think deeply what happens in a universe of infinites for when you perish; Remember kind and bad words but dwell on only the kind ones; Respect your elders and love thy parents no matter what as these are traits of nobility
Slavery is purely ethical and proper if served as an optional part of a sentence,General,Neutral,Reflective,General,Anytime Wisdom,80,6,Cheating with humour may be ethical; Justice is sometimes better served by the sole incumbent; Inducing paranoia onto others is ethical only when well ministered
Obesity is not a sin but it is a wrong to oneself only if it make'th ye unhappy,General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,Being honest to oneself does clarify; Mental conditioning is best done by oneself with reason; Comparing yourself to others is wrong but we all do it at one point
"Pets are like children, that is, raise them in negligence and dumb they may be",General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Children are like sponges waiting to be soaked in lore by you; Pray like you mean it; If you raise some beast to be too smart strange things may happen
Inter-stellar travel if proved possible would not necessarily be fun and games,Humor,Neutral,Reflective,General,Lighthearted Moment,78,5.9,"If time travel is possible it is pre-ordained; It is always fun helping; Things always happen for a reason, not necessarily yours on lesse you will it"
Persistence is not always a good choice but it builds character,General,Neutral,Advisory,General,Anytime Wisdom,63,4.7,The best people in the world are not full of money but have character; It is awareness of the appreciation of the tiniest things in one that builds kinship; Deforming your innate character for the better will add a history of hurt
Good friends ‘may' think alike,General,Neutral,Reflective,Human Nature,Anytime Wisdom,30,2.3,"Certain ideals are admirable by both evil and good alike; Without friends nothing would ever get done - ultimately...; If you think your experience is unique, think again, you are only human"
Be respectful to other's religions provided they are free from genuine evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,75,5.6,Every genuine artist has his/her own style; Be happy for those that foster trouble free lives; A genuine philosopher is wise
Don't believe everything you read but don't mock just about everything either,General,Neutral,Inspirational,General,Anytime Wisdom,77,5.8,Don't mess with what you don't quite understand; Everyone has problems; some just don't know what theirs is yet; Don't believe mere hearsay with certainty
If you have to make it a last stand then at least stand for something,General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,"Believe in something, stand it up to reason, and let bliss prosper; If bored try to make it an objective to make someone happy and see how that feels; Too much education may make you blind to life itself"
"Paranoia is useless, it is called being cautious - learn to communicate and it goes away",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Learn what reason is; Vendettas are useless when quarantine is better; Inducing paranoia onto others is ethical only when well ministered
If you suffer may you remember there is always someone relatively worse - relative to your cherished own standards,General,Somber,Advisory,General,Anytime Wisdom,114,8.6,"The good ones suffer from seeing others in pain; If things feel bad realize worse emotions exist; Cherished are those well versed in communication, but better gifted are those blessed with a heart"
It is best to live with some values than none,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Never fully trust someone without noble values; How daft does someone have to be to live without purpose?; To live utterly honest one needs wisdom
If God exists it does seem reasonable that it be ordering ‘all' to its greater glory,General,Neutral,Reflective,Spirituality,Spiritual Prompt,84,6.3,The power of faith does greater wonders when combined with reason; There is no glory in trespass of the law - just shame; There is always a GREAT place for you in God's plan
"If you think your experience is unique, think again, you are only human",General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Embrace A.I. - think!; Animals too may experience human-like ills; Good friends ‘may' think alike
Seize the moment if more certain than in doubt,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,Death is no easy way out as the afterlife is never certain as such; Certain ideals are admirable by both evil and good alike; Certain problems affect people exceedingly differently
@ ~21st century the majesty of space was shown gloriously to most through Carl Sagan,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,"Art is meant to be shown ultimately, so bear in mind of the target audience; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
Learning from history is the quickest way to wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,51,3.8,Learning without thought means hardship is spared - thought without learning is circular; Having older friends is the quickest path to maturity; Learning from mistakes cuts short one side of our life
"A story is never truly told, on lesse the legacy be known",General,Neutral,Advisory,General,Daily Motivation,57,4.3,There is always a place for you in a story; Even the most unlikely individuals do too have a story to tell; There is no reason to lie with a truth well told
"Judge not a book by its cover, nor the writing within alone, but compare it to all",General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,"When purchasing someone a gift book for someone, be sure you know them well; Imagination well used may be better than reading a good book; Compare yourself to others only in a noble and just manner - lest you create envy in others"
"Feminism is not about feminine superiority nor unfair rights, it is about reason",General,Neutral,Reflective,General,Anytime Wisdom,80,6,"Learn what reason is; Battle for your humanitarian rights instead of letting others abuse you; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
If you can prove the Omega surely you can prove the Alpha,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
If time travel is possible it is pre-ordained,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,"Inter-stellar travel if proved possible would not necessarily be fun and games; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?"
In love only truth is fair,"Love, Truth",Serious,Reflective,Philosophy,Anytime Wisdom,26,2,If your cause is fair then there is always a way; Truth is for the wise; Modern day love poetry may convey feelings mixed with humour and truth
42,General,Neutral,Reflective,General,Anytime Wisdom,2,0.2,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values"
Teamwork is vital for the wellbeing of most societies,General,Neutral,Reflective,Life Advice,Anytime Wisdom,53,4,"Sure, there is talk about many known secret societies, but what of the unknown?; Getting too accustomed to a steady routine ‘may' be detrimental for your wellbeing; Compare yourself to others only in a noble and just manner - lest you create envy in others"
Think rationally about your funeral to be - most people are irrational,Humor,Neutral,Reflective,Human Nature,Lighthearted Moment,70,5.3,"A lot of first impressions are made by irrational hearsay; If you think your experience is unique, think again, you are only human; Embrace A.I. - think!"
Senryu truly ought never be too short,General,Neutral,Advisory,General,Anytime Wisdom,37,2.8,"Learning from mistakes cuts short one side of our life; Sport can only truly be enjoyed if one has friends who are eager for it also; A story is never truly told, on lesse the legacy be known"
Amalgamated prophecies well interpreted with wit may describe God's conscience,General,Neutral,Reflective,Spirituality,Spiritual Prompt,78,5.9,There is always a GREAT place for you in God's plan; Some dreams cannot be readily interpreted without a clear sequel; Do not ‘force' your faith onto others for Allah/God guides with heart
Most anti-altruists would openly sacrifice their life for their mums - ponder...,General,Neutral,Reflective,General,Anytime Wisdom,80,6,"You may not think yourself evil, but ponder every time you put yourself ahead; Treating someone with no dignity in respect can make them ponder; A world without anti-heroes and evil is possible not devoid of purpose"
Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware,"Love, Ethics",Serious,Reflective,Relationships,Anytime Wisdom,93,7,"Anyone with the capacity to love deserves some respect; You may not think yourself evil, but ponder every time you put yourself ahead; The power of love does not cure just any evil, and violence at times helps not either"
"Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological",General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Racial equality would eliminate most beauty stereotypes; Never undermine someone on lesse you do no harm; Superstition may be deemed as nonsense but it may have a psychological butterfly effect
"Thoughts put forth, even at in an impulse, at times convey much",General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,"Possessive beeth it whom never let others divulge their thoughts; Art does not convey much about a person on lesse you know the person; Believe in yourself, but if unable to do so at times then rely on others"
Few people know what ‘Feminist Ethics' are... It is about reason and recognizing physiological difference and similarities,General,Neutral,Reflective,Human Nature,Daily Motivation,122,9.2,"Learn what reason is; Everyone's idea of genuine love may differ, but similarities always persist; All people are born leaders; you just have to know your leadership style"
Backup plans will not always work so be prepared for the worst just in case,General,Neutral,Advisory,Life Advice,Anytime Wisdom,75,5.6,"Just because someone doesn't work does not mean they are stupid; If you cannot work around the standard times, then make work suit your schedules; There is nothing wrong with preparing too far ahead, but be prepared for deviation"
Sheer will is a trait that often should be more appreciated than limiting physical or psychological characteristics,General,Neutral,Reflective,General,Anytime Wisdom,115,8.6,"Any job is an art form, it just has to be appreciated and emotionally expressed; Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological; If incapable to make a difference project your sheer spirit"
If you are going to pray or cast a spell do something that is not in the slightest sense evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,93,7,Pray like you mean it; There was no sense in diversity in the past; If you are going to put up with flak be sure you have the brains to save yourself
Learn what reason is,General,Neutral,Reflective,General,Anytime Wisdom,20,1.5,You can't learn something new from just about anything; There are perks at every job; you just have to learn how to find them; Learn to do your research before committing to something
Believe in second chances if with good measure but learn from mistakes,General,Neutral,Inspirational,General,Anytime Wisdom,70,5.3,Learn what reason is; Believe in the power of good because there is not much else to rely on; Learning from mistakes cuts short one side of our life
Observe the things you love as that tells you a lot about yourself,Love,Neutral,Reflective,Relationships,Anytime Wisdom,66,5,Perception may mean a lot; A lot of first impressions are made by irrational hearsay; Grow to love your identity
"Never diss someone's favourite food, but maybe indulge them in yours",General,Neutral,Advisory,General,Anytime Wisdom,68,5.1,If it hurts for you to see someone else in pain then maybe you are not without hope; We can appreciate food better if we know what we are eating; A four colour BIC pen can indulge a child in so many ways
Lying does not make you a bad person provided it is for ‘harmless' fun and ethical,Humor,Neutral,Reflective,General,Lighthearted Moment,82,6.2,Art does not convey much about a person on lesse you know the person; Deranged is the person that cannot grasp the concept of ethical reason; It is always fun helping
Working is just as hard for some people as enjoying a lazy time - whom to pity?,General,Uplifting,Reflective,Human Nature,Anytime Wisdom,79,5.9,"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; The most unlikely people will remember you for the longest time; Great thinkers and doers may even be lazy"
Immortality is such a juvenile notion but prolonging life here and thereafter is not,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Immortality can only be achieved through eudaimonia alone - in whatever life; Life may get more complex with intellect; Too much education may make you blind to life itself
Nature is most kind to those with a display of passion,General,Neutral,Reflective,General,Anytime Wisdom,54,4.1,"Remember kind and bad words but dwell on only the kind ones; Pursue your passion and not the money, and if a compromise may be found, so be it; Unformed is he/she who never attempted to pursue their passion at least once"
Learning without thought means hardship is spared - thought without learning is circular,General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Learning from history is the quickest way to wisdom; Learning from mistakes cuts short one side of our life; Do not let your any secular group bias your entire view of the world without thought
"Things always happen for a reason, not necessarily yours on lesse you will it",General,Neutral,Advisory,General,Anytime Wisdom,77,5.8,"All accidents are caused, on lesse an accident happen; If you raise some beast to be too smart strange things may happen; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason"
Immortality can only be achieved through eudaimonia alone - in whatever life,General,Neutral,Reflective,General,Anytime Wisdom,76,5.7,Immortality is such a juvenile notion but prolonging life here and thereafter is not; Life may get more complex with intellect; Too much education may make you blind to life itself
Proliferating to excess without the finances to pass down is selfish and cruel,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,"Hilarity and humour is dehumanizing if done to excess; If you know someone is beyond hope, and you did all you could, pass him/her on; If bored reminiscence on the things you did to pass time when younger"
If you miss a special celebration rest assured you can create your own celebration day,General,Neutral,Reflective,General,Anytime Wisdom,86,6.5,If anything can go wrong rest assured it shall not always or ever be so; Compare yourself to others only in a noble and just manner - lest you create envy in others; Never forget a remembrance day to a loved one
Embrace A.I. - think!,General,Neutral,Reflective,General,Anytime Wisdom,21,1.6,"If you think your experience is unique, think again, you are only human; Embrace technology but relish simplicity; Be open to new ideas, but do not openly embrace anything without some skepticism"
If someone commits evil believe in redemption but if no sign of hope then no mercy,Ethics,Serious,Inspirational,Ethics,Anytime Wisdom,82,6.2,"If you know someone is beyond hope, and you did all you could, pass him/her on; If it hurts for you to see someone else in pain then maybe you are not without hope; Believe in the Jack"
Be happy for others,General,Neutral,Reflective,General,Anytime Wisdom,19,1.4,Do the hobby that makes you most happy ultimately; Be happy for those that foster trouble free lives; Some individuals will never experience pain or suffering - feel happy for them
Even the most unlikely individuals do too have a story to tell,General,Neutral,Reflective,General,Anytime Wisdom,62,4.7,There is always a place for you in a story; The most unlikely people will remember you for the longest time; The most perfect individuals are often unknown
Public transportation en mass is the way of to be but not the far future,General,Neutral,Reflective,General,Anytime Wisdom,72,5.4,"Favouritism will only get you so far but it gives you identity; Some news never make it to the public on the basis of hearsay, this with good cause; Every sinner has a past and every saint a future"
A world without anti-heroes and evil is possible not devoid of purpose,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,70,5.3,How daft does someone have to be to live without purpose?; Devotion to a cause gives one purpose like none other; What you do not understand about this world ‘may' be for your own safety
"The power of love does not cure just any evil, and violence at times helps not either","Love, Ethics",Serious,Reflective,Relationships,Anytime Wisdom,85,6.4,"If a friend betrays you once, then again, and then several times more, that person is ‘evil'; Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware; Just because you may know everything does not mean you can't listen"
Success doesn't come to you; it is to be discovered by your own accord,General,Neutral,Reflective,General,Anytime Wisdom,70,5.3,Over kill for success is not that good; Just because someone doesn't work does not mean they are stupid; Love comes and goes many times over but a soulmate may only come once
"There is consensus in natures' beauty, but then diversity necessity intervenes",General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,There was no sense in diversity in the past; Completely analysing someone prior to marriage is but a necessity; There is so much beauty and representative truth in myths of old
Death is no easy way out as the afterlife is never certain as such,Mortality,Somber,Advisory,General,Anytime Wisdom,66,5,"I do believe certain material possessions can be taken to the afterlife - why not?; Some individuals are easy to read, others impossible, either way familiarisation is a must; There is no death in heaven?!? How do all things end then?"
"It is estimated eighty percent of all life in this planet is now extinct, but what of the unseen?",General,Neutral,Reflective,General,Daily Motivation,97,7.3,Life may get more complex with intellect; Too much education may make you blind to life itself; Immortality can only be achieved through eudaimonia alone - in whatever life
How daft does someone have to be to live without purpose?,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,Good advertising does not sell everything if the product does not live up to expectations; It is best to live with some values than none; Devotion to a cause gives one purpose like none other
Try not to worry but strive for your identity,Identity,Neutral,Reflective,General,Anytime Wisdom,45,3.4,If perplexed in worry try to relate with the worries with someone higher up in hierarchy; Grow to love your identity; Favouritism will only get you so far but it gives you identity
Trust your intuition above others if better educated and life experienced,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,Never fully trust someone without noble values; Trust in the Irishman when he assaults your partner; Life looks better when good deeds are done with no ill malice
Change is always inevitable but bounded by certain mean distributions only,General,Neutral,Advisory,General,Anytime Wisdom,74,5.6,Pray like you mean it; Perception may mean a lot; Just because you may know everything does not mean you can't listen
A physical fight is utterly condemned in rationality on lesse the wrong one be in chaos,General,Neutral,Reflective,General,Anytime Wisdom,87,6.5,Understanding the value of sentience gives us something to fight for; Comparing yourself to others is wrong but we all do it at one point; A side is always in the wrong if one has to utilize spies
"If you know someone is beyond hope, and you did all you could, pass him/her on",General,Neutral,Reflective,General,Daily Motivation,78,5.9,If bored reminiscence on the things you did to pass time when younger; If it hurts for you to see someone else in pain then maybe you are not without hope; If someone commits evil believe in redemption but if no sign of hope then no mercy
"Any job is an art form, it just has to be appreciated and emotionally expressed",General,Neutral,Reflective,Life Advice,Anytime Wisdom,79,5.9,There are perks at every job; you just have to learn how to find them; Love in any form does not necessarily need verbal communication; Art is an aphrodisiac of the soul
"Simulations of war may be fun, but partaking in real combat you better be sure",Humor,Neutral,Reflective,General,Lighthearted Moment,78,5.9,War for power never works; It is always fun helping; To joke about suffering may be all in good fun but make sure a message is heard after
The ability to sympathize with and for others is a tell tale mark of intelligence,General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Ruthlessness may be a tell tale sign of early trauma; Even the most unlikely individuals do too have a story to tell; The gift of eloquence in speech does not indicate one's intelligence or wisdom
Arational is he that does not think ahead,General,Neutral,Reflective,General,Anytime Wisdom,41,3.1,"You may not think yourself evil, but ponder every time you put yourself ahead; If you think your experience is unique, think again, you are only human; Embrace A.I. - think!"
In learning to be humble just perceive objects as being toys to share,General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,Learning without thought means hardship is spared - thought without learning is circular; Being humble enhances the appreciation for the finer things - all in time; Learning from history is the quickest way to wisdom
Someone lacking in ‘apparent' knowledge is just a sponge in need of a father,General,Neutral,Reflective,General,Daily Motivation,76,5.7,"Help others find love that need it so; Learn from fear when need be, and overcome it next time; Symbolist rituals do not need bloodletting"
Believe in yourself even when no one believes in you but be attentive to any wisdom,Wisdom,Neutral,Inspirational,Philosophy,Anytime Wisdom,83,6.2,Be attentive to what is said about you as it reflects your own nature; Believe in the Jack; Do not completely underestimate the wisdom from the past
If someone younger than you disrespects you do attempt to regain their respect,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,"Treating others with respect not always gives you respect so learn to be emotive; Respect education, but remember also to respect hard labour; Respect other's sanctity of being"
Patriotism is but a stepping stone towards an idea for an identity,Identity,Neutral,Reflective,General,Anytime Wisdom,66,5,"Grow to love your identity; Everyone's idea of genuine love may differ, but similarities always persist; Try not to worry but strive for your identity"
If perplexed in worry try to relate with the worries with someone higher up in hierarchy,General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Try not to worry but strive for your identity; Happiness arises when one frees him/herself from worries - worry not about imperfections and instead capitalize on the true beauty of them; Higher sentience sometimes is perceived odd
