Quote,Tags,Mood,Tone,Category,Usage Context,Character Count,Estimated Spoken Duration (s),Related Quotes,Related Bible Passage (KJV),KJV Reference
Forgive but forget not for the sake of wisdom only,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,50,3.8,"Never forget a remembrance day to a loved one; Pure altruism necessitates a sacrifice of the self for the sake of another; Remember compliments, forget insults but only if untrue and not harmful","But if ye do not forgive, neither will your Father which is in heaven forgive your trespasses.",Mark 11:26
"Pursue your passion and not the money, and if a compromise may be found, so be it",General,Neutral,Reflective,General,Anytime Wisdom,81,6.1,Unformed is he/she who never attempted to pursue their passion at least once; Ironically there is always a way to compromise safety; Nature is most kind to those with a display of passion,"Depart from evil, and do good; seek peace, and pursue it.",Psalms 34:14
Remember kind and bad words but dwell on only the kind ones,General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,"Nature is most kind to those with a display of passion; In a universe with infinites, no matter what kind, mayhap every religion needs respect; There is so much beauty in words and it is words that conquers a nation",Before I was afflicted I went astray: but now have I kept thy word.,Psalms 119:67
"Believe in something, stand it up to reason, and let bliss prosper",General,Neutral,Inspirational,General,Anytime Wisdom,66,5.0,If you have to make it a last stand then at least stand for something; Learn what reason is; Believe in the Jack,"Follow after charity, and desire spiritual gifts, but rather that ye may prophesy.",I Corinthians 14:1
"Learn from fear when need be, and overcome it next time",Fear,Neutral,Reflective,General,Anytime Wisdom,55,4.1,Learn to ‘let go' when time mandates it so; Learn what reason is; Help others find love that need it so,"Be not afraid of sudden fear, neither of the desolation of the wicked, when it cometh.",Proverbs 3:25
If you seek something but cannot find then try asking instead,General,Neutral,Reflective,General,Anytime Wisdom,61,4.6,"Genuine travellers seek to relish most of it all; Try not to worry but strive for your identity; Relinquish not your desired identity, and instead improve on it when you can","Search me, O God, and know my heart: try me, and know my thoughts:",Psalms 139:23
"If you fail to see an afterlife, or better times to be, reason quick for you are in the wrong",General,Neutral,Reflective,General,Anytime Wisdom,93,7.0,Learn what reason is; Death is no easy way out as the afterlife is never certain as such; If you fail to love but at least one aspect of yourself you may wither away,"And that, knowing the time, that now it is high time to awake out of sleep: for now is our salvation nearer than when we believed.",Romans 13:11
"When stuck at sea, do not underestimate the gift of the gab",General,Neutral,Advisory,General,Anytime Wisdom,59,4.4,Never underestimate the power of dreams; Don't ever underestimate the might of agility; Do not completely underestimate the wisdom from the past,"But as for you, turn you, and take your journey into the wilderness by the way of the Red sea.",Deuteronomy 1:40
"Do not openly disbelieve the improbable, assign it a probability instead",General,Neutral,Advisory,General,Anytime Wisdom,72,5.4,"If you seek something but cannot find then try asking instead; Be open to new ideas, but do not openly embrace anything without some skepticism; Most anti-altruists would openly sacrifice their life for their mums - ponder...",Do all things without murmurings and disputings:,Philippians 2:14
"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key",General,Neutral,Reflective,General,Anytime Wisdom,122,9.2,Time and time again I watch individuals bully others with none intervening - why?; It is not so much to spoil employees with some motivating perks from time to time; Learn to ‘let go' when time mandates it so,"I have pursued mine enemies, and overtaken them: neither did I turn again till they were consumed.",Psalms 18:37
Be tolerant to those that choose to harm themselves believing otherwise as long as they are out of sight,General,Neutral,Reflective,General,Anytime Wisdom,104,7.8,Never undermine someone on lesse you do no harm; Believing it is possible takes you most of the way there; The presence of misery cannot be told by sight alone,"Whom resist stedfast in the faith, knowing that the same afflictions are accomplished in your brethren that are in the world.",I Peter 5:9
"Be open to new ideas, but do not openly embrace anything without some skepticism",General,Neutral,Advisory,General,Anytime Wisdom,80,6.0,Embrace A.I. - think!; You can't learn something new from just about anything; Embrace technology but relish simplicity,Do all things without murmurings and disputings:,Philippians 2:14
"Always pay your dues, ahead of time preferably, because rewards are often associated",General,Neutral,Advisory,General,Anytime Wisdom,84,6.3,"You may not think yourself evil, but ponder every time you put yourself ahead; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key","If any man’s work abide which he hath built thereupon, he shall receive a reward.",I Corinthians 3:14
Get in the habit of doing some good deeds every once in a while at least - good happens,General,Neutral,Reflective,General,Anytime Wisdom,87,6.5,Never give up the faith in good deeds; Life looks better when good deeds are done with no ill malice; A habit well developed can lead you places,"Depart from evil, and do good; and dwell for evermore.",Psalms 37:27
If you aim for perfection in this life mayhap it is only attained at full essence in the next,General,Neutral,Poetic,General,Anytime Wisdom,93,7.0,"Good timing means absolutely everything when seeking perfection; Some noble ideals are worth pursuing but mayhap not throughout all known territory; In a universe with infinites, no matter what kind, mayhap every religion needs respect","Make you perfect in every good work to do his will, working in you that which is wellpleasing in his sight, through Jesus Christ; to whom be glory for ever and ever. Amen.",Hebrews 13:21
Respect your elders and love thy parents no matter what as these are traits of nobility,Love,Neutral,Reflective,Relationships,Anytime Wisdom,87,6.5,"Never expect anything from your parents but love; Anyone with the capacity to love deserves some respect; In a universe with infinites, no matter what kind, mayhap every religion needs respect","Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself.",Matthew 19:19
Holding dear to some celebrative days are a must for a sense of identity and integrity,Identity,Neutral,Reflective,General,Anytime Wisdom,86,6.5,It may be realised that whatever is most dear is close by already; There was no sense in diversity in the past; Grow to love your identity,A gracious woman retaineth honour: and strong men retain riches.,Proverbs 11:16
"Destined are we, but it is up to you for what in spirit",General,Neutral,Reflective,General,Anytime Wisdom,55,4.1,"If incapable to make a difference project your sheer spirit; Of course some genes may ‘seem' better, but what of mind, spirit, and soul; Spirit journeys don't need drugs; it is serendipity and want that leads you there","Which hope we have as an anchor of the soul, both sure and stedfast, and which entereth into that within the veil;",Hebrews 6:19
Utilize the failures of your life for stories of grandeur when possible,General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,A side is always in the wrong if one has to utilize spies; Believing it is possible takes you most of the way there; If time travel is possible it is pre-ordained,"For my life is spent with grief, and my years with sighing: my strength faileth because of mine iniquity, and my bones are consumed.",Psalms 31:10
Patience is a virtue that is best met when justified,General,Neutral,Reflective,General,Anytime Wisdom,52,3.9,A man can be happy with any woman provided all his love needs are met; It is best to live with some values than none; The best people in the world are not full of money but have character,In your patience possess ye your souls.,Luke 21:19
Without expression of wants and needs in a manner befitting thou shall not receive,General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,If anything can go wrong rest assured it shall not always or ever be so; Cling to your dignity otherwise you shall become generic; Compare yourself to others only in a noble and just manner - lest you create envy in others,Give to every man that asketh of thee; and of him that taketh away thy goods ask them not again.,Luke 6:30
Happiness arises when one frees him/herself from worries - worry not about imperfections and instead capitalize on the true beauty of them,General,Uplifting,Reflective,General,Anytime Wisdom,138,10.4,"If perplexed in worry try to relate with the worries with someone higher up in hierarchy; Happiness is being in harmony; Isolation fosters happiness to some, but misleading is this to those that understand not the incumbent's true hidden psyche",Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.,Proverbs 28:14
"Be not embarrassed as to whom you are, but be wary as to who you disclose yourself to",General,Neutral,Reflective,General,Anytime Wisdom,85,6.4,"Be wary of the mentality of a witch that is deranged; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","Trust ye not in a friend, put ye not confidence in a guide: keep the doors of thy mouth from her that lieth in thy bosom.",Micah 7:5
"There is no shame in living a life of plenty, however not helping others when in position - major shame",General,Neutral,Reflective,General,Anytime Wisdom,103,7.7,There is no shame in living with hoards of wealth selfishly if with ‘good' reason; There is no glory in trespass of the law - just shame; It is always fun helping,"They were all ashamed of a people that could not profit them, nor be an help nor profit, but a shame, and also a reproach.",Isaiah 30:5
"Respect education, but remember also to respect hard labour",General,Neutral,Reflective,General,Anytime Wisdom,59,4.4,Treating others with respect not always gives you respect so learn to be emotive; Respect other's sanctity of being; Respect the good accomplishment of others,Labour not to be rich: cease from thine own wisdom.,Proverbs 23:4
"Remember compliments, forget insults but only if untrue and not harmful",General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Forgive but forget not for the sake of wisdom only; Never forget a remembrance day to a loved one; The most unlikely people will remember you for the longest time,"Neither filthiness, nor foolish talking, nor jesting, which are not convenient: but rather giving of thanks.",Ephesians 5:4
"All forms of government work, but to the right people",General,Neutral,Reflective,Human Nature,Anytime Wisdom,53,4.0,"Most people want to work - there are always jobs with a good government; Do the right thing not for deity alone but because it is right; If you cannot work around the standard times, then make work suit your schedules","All things are lawful unto me, but all things are not expedient: all things are lawful for me, but I will not be brought under the power of any.",I Corinthians 6:12
A belief in myths is not altogether foolish if it impacts your next life to be,General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Well told urban myths become the myths of the future; A noble belief is usually for a good cause; There is so much beauty and representative truth in myths of old,"Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: so do. ",I Timothy 1:4
Being original is not always seen as favourable,General,Neutral,Advisory,General,Anytime Wisdom,47,3.5,If you have not seen nature in purple you are missing out; There is no sense in persecution of a faith that may essentially be seen as roleplaying; Emotional avalanches are seen to occur when a certain frame of mind catches like wildfire,"And have put on the new man, which is renewed in knowledge after the image of him that created him:",Colossians 3:10
Being humble enhances the appreciation for the finer things - all in time,General,Neutral,Reflective,General,Anytime Wisdom,73,5.5,"It is awareness of the appreciation of the tiniest things in one that builds kinship; If bored reminiscence on the things you did to pass time when younger; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key",A man’s pride shall bring him low: but honour shall uphold the humble in spirit.,Proverbs 29:23
Never undermine someone on lesse you do no harm,General,Neutral,Advisory,General,Anytime Wisdom,47,3.5,"If megalomaniacs cause no harm they can be tolerable for entertainment reasons; Be tolerant to those that choose to harm themselves believing otherwise as long as they are out of sight; Things always happen for a reason, not necessarily yours on lesse you will it","But evil men and seducers shall wax worse and worse, deceiving, and being deceived.",II Timothy 3:13
"Believe in yourself, but if unable to do so at times then rely on others",General,Neutral,Inspirational,General,Anytime Wisdom,72,5.4,"Believe in the power of good because there is not much else to rely on; Believe in the Jack; Be not stressed if unable to find love, for stress is borrowing problems from thereafter",Trust in the Lord with all thine heart; and lean not unto thine own understanding.,Proverbs 3:5
If anything can go wrong rest assured it shall not always or ever be so,General,Neutral,Advisory,General,Anytime Wisdom,71,5.3,If you miss a special celebration rest assured you can create your own celebration day; Comparing yourself to others is wrong but we all do it at one point; A side is always in the wrong if one has to utilize spies,"When a few years are come, then I shall go the way whence I shall not return. ",Job 16:22
You are beautiful no matter how ugly you are labelled - it is all relative to different people,General,Neutral,Reflective,Human Nature,Anytime Wisdom,94,7.1,"Scalp hair is such a beautiful gift to some so make the best out of it; No matter how boring your life is, well told it would be a masterpiece; The only ultimate wisdom knows to be reasonably and rationally relative","Favour is deceitful, and beauty is vain: but a woman that feareth the Lord, she shall be praised.",Proverbs 31:30
"In a universe with infinites, no matter what kind, mayhap every religion needs respect",General,Neutral,Poetic,General,Anytime Wisdom,86,6.5,Think deeply what happens in a universe of infinites for when you perish; Remember kind and bad words but dwell on only the kind ones; Respect your elders and love thy parents no matter what as these are traits of nobility,For there is no respect of persons with God.,Romans 2:11
Slavery is purely ethical and proper if served as an optional part of a sentence,General,Neutral,Reflective,General,Anytime Wisdom,80,6.0,Cheating with humour may be ethical; Justice is sometimes better served by the sole incumbent; Inducing paranoia onto others is ethical only when well ministered,"Art thou called being a servant? care not for it: but if thou mayest be made free, use it rather.",I Corinthians 7:21
Obesity is not a sin but it is a wrong to oneself only if it make'th ye unhappy,General,Neutral,Reflective,General,Anytime Wisdom,79,5.9,Being honest to oneself does clarify; Mental conditioning is best done by oneself with reason; Comparing yourself to others is wrong but we all do it at one point,"And if any man said unto him, Let them not fail to burn the fat presently, and then take as much as thy soul desireth; then he would answer him, Nay; but thou shalt give it me now: and if not, I will take it by force.",I Samuel 2:16
"Pets are like children, that is, raise them in negligence and dumb they may be",General,Neutral,Reflective,General,Anytime Wisdom,78,5.9,Children are like sponges waiting to be soaked in lore by you; Pray like you mean it; If you raise some beast to be too smart strange things may happen,"Beware of dogs, beware of evil workers, beware of the concision.",Philippians 3:2
Inter-stellar travel if proved possible would not necessarily be fun and games,Humor,Neutral,Reflective,General,Lighthearted Moment,78,5.9,"If time travel is possible it is pre-ordained; It is always fun helping; Things always happen for a reason, not necessarily yours on lesse you will it","And the inhabitants of one city shall go to another, saying, Let us go speedily to pray before the Lord, and to seek the Lord of hosts: I will go also.",Zechariah 8:21
Persistence is not always a good choice but it builds character,General,Neutral,Advisory,General,Anytime Wisdom,63,4.7,The best people in the world are not full of money but have character; It is awareness of the appreciation of the tiniest things in one that builds kinship; Deforming your innate character for the better will add a history of hurt,"Laying up in store for themselves a good foundation against the time to come, that they may lay hold on eternal life.",I Timothy 6:19
Good friends ‘may' think alike,General,Neutral,Reflective,Human Nature,Anytime Wisdom,30,2.3,"Certain ideals are admirable by both evil and good alike; Without friends nothing would ever get done - ultimately...; If you think your experience is unique, think again, you are only human",A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother. ,Proverbs 18:24
Be respectful to other's religions provided they are free from genuine evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,75,5.6,Every genuine artist has his/her own style; Be happy for those that foster trouble free lives; A genuine philosopher is wise,For there is no respect of persons with God.,Romans 2:11
Don't believe everything you read but don't mock just about everything either,General,Neutral,Inspirational,General,Anytime Wisdom,77,5.8,Don't mess with what you don't quite understand; Everyone has problems; some just don't know what theirs is yet; Don't believe mere hearsay with certainty,"How that they told you there should be mockers in the last time, who should walk after their own ungodly lusts.",Jude 1:18
If you have to make it a last stand then at least stand for something,General,Neutral,Reflective,General,Anytime Wisdom,69,5.2,"Believe in something, stand it up to reason, and let bliss prosper; If bored try to make it an objective to make someone happy and see how that feels; Too much education may make you blind to life itself","They stand fast for ever and ever, and are done in truth and uprightness.",Psalms 111:8
"Paranoia is useless, it is called being cautious - learn to communicate and it goes away",General,Neutral,Reflective,General,Anytime Wisdom,88,6.6,Learn what reason is; Vendettas are useless when quarantine is better; Inducing paranoia onto others is ethical only when well ministered,"Avoid it, pass not by it, turn from it, and pass away.",Proverbs 4:15
If you suffer may you remember there is always someone relatively worse - relative to your cherished own standards,General,Somber,Advisory,General,Anytime Wisdom,114,8.6,"The good ones suffer from seeing others in pain; If things feel bad realize worse emotions exist; Cherished are those well versed in communication, but better gifted are those blessed with a heart",Before I was afflicted I went astray: but now have I kept thy word.,Psalms 119:67
It is best to live with some values than none,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,Never fully trust someone without noble values; How daft does someone have to be to live without purpose?; To live utterly honest one needs wisdom,Keep thy heart with all diligence; for out of it are the issues of life.,Proverbs 4:23
If God exists it does seem reasonable that it be ordering ‘all' to its greater glory,General,Neutral,Reflective,Spirituality,Spiritual Prompt,84,6.3,The power of faith does greater wonders when combined with reason; There is no glory in trespass of the law - just shame; There is always a GREAT place for you in God's plan,"Be thou exalted, O God, above the heavens: let thy glory be above all the earth. ",Psalms 57:11
"If you think your experience is unique, think again, you are only human",General,Neutral,Reflective,General,Anytime Wisdom,71,5.3,Embrace A.I. - think!; Animals too may experience human-like ills; Good friends ‘may' think alike,"If I regard iniquity in my heart, the Lord will not hear me:",Psalms 66:18
Seize the moment if more certain than in doubt,General,Neutral,Reflective,General,Anytime Wisdom,46,3.5,Death is no easy way out as the afterlife is never certain as such; Certain ideals are admirable by both evil and good alike; Certain problems affect people exceedingly differently,It is not expedient for me doubtless to glory. I will come to visions and revelations of the Lord.,II Corinthians 12:1
@ ~21st century the majesty of space was shown gloriously to most through Carl Sagan,General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,"Art is meant to be shown ultimately, so bear in mind of the target audience; Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason","Who shall not receive manifold more in this present time, and in the world to come life everlasting.",Luke 18:30
Learning from history is the quickest way to wisdom,Wisdom,Neutral,Reflective,Philosophy,Anytime Wisdom,51,3.8,Learning without thought means hardship is spared - thought without learning is circular; Having older friends is the quickest path to maturity; Learning from mistakes cuts short one side of our life,Wisdom is the principal thing; therefore get wisdom: and with all thy getting get understanding.,Proverbs 4:7
"A story is never truly told, on lesse the legacy be known",General,Neutral,Advisory,General,Daily Motivation,57,4.3,There is always a place for you in a story; Even the most unlikely individuals do too have a story to tell; There is no reason to lie with a truth well told,A talebearer revealeth secrets: but he that is of a faithful spirit concealeth the matter.,Proverbs 11:13
"Judge not a book by its cover, nor the writing within alone, but compare it to all",General,Neutral,Reflective,General,Anytime Wisdom,82,6.2,"When purchasing someone a gift book for someone, be sure you know them well; Imagination well used may be better than reading a good book; Compare yourself to others only in a noble and just manner - lest you create envy in others","Judge not according to the appearance, but judge righteous judgment.",John 7:24
"Feminism is not about feminine superiority nor unfair rights, it is about reason",General,Neutral,Reflective,General,Anytime Wisdom,80,6.0,"Learn what reason is; Battle for your humanitarian rights instead of letting others abuse you; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason",And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brethren.,Job 42:15
If you can prove the Omega surely you can prove the Alpha,General,Neutral,Reflective,General,Anytime Wisdom,57,4.3,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","I am Alpha and Omega, the beginning and the end, the first and the last.",Revelation of John 22:13
If time travel is possible it is pre-ordained,General,Neutral,Reflective,General,Anytime Wisdom,45,3.4,"Inter-stellar travel if proved possible would not necessarily be fun and games; If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; Time and time again I watch individuals bully others with none intervening - why?","And the Lord appointed a set time, saying, To morrow the Lord shall do this thing in the land.",Exodus 9:5
In love only truth is fair,"Love, Truth",Serious,Reflective,Philosophy,Anytime Wisdom,26,2.0,If your cause is fair then there is always a way; Truth is for the wise; Modern day love poetry may convey feelings mixed with humour and truth,"How fair is thy love, my sister, my spouse! how much better is thy love than wine! and the smell of thine ointments than all spices!",Song of Solomon 4:10
42,General,Neutral,Reflective,General,Anytime Wisdom,2,0.2,"Compare yourself to others only in a noble and just manner - lest you create envy in others; Pay your dues and be kind to other's requests but never depart from moral reason, not necessarily your reason; Never fully trust someone without noble values","And thy estimation shall be of the male from twenty years old even unto sixty years old, even thy estimation shall be fifty shekels of silver, after the shekel of the sanctuary.",Leviticus 27:3
Teamwork is vital for the wellbeing of most societies,General,Neutral,Reflective,Life Advice,Anytime Wisdom,53,4.0,"Sure, there is talk about many known secret societies, but what of the unknown?; Getting too accustomed to a steady routine ‘may' be detrimental for your wellbeing; Compare yourself to others only in a noble and just manner - lest you create envy in others","Wherefore our elders and all the inhabitants of our country spake to us, saying, Take victuals with you for the journey, and go to meet them, and say unto them, We are your servants: therefore now make ye a league with us.",Joshua 9:11
Think rationally about your funeral to be - most people are irrational,Humor,Neutral,Reflective,Human Nature,Lighthearted Moment,70,5.3,"A lot of first impressions are made by irrational hearsay; If you think your experience is unique, think again, you are only human; Embrace A.I. - think!","For this people’s heart is waxed gross, and their ears are dull of hearing, and their eyes they have closed; lest at any time they should see with their eyes, and hear with their ears, and should understand with their heart, and should be converted, and I should heal them.",Matthew 13:15
Senryu truly ought never be too short,General,Neutral,Advisory,General,Anytime Wisdom,37,2.8,"Learning from mistakes cuts short one side of our life; Sport can only truly be enjoyed if one has friends who are eager for it also; A story is never truly told, on lesse the legacy be known","But ye shall not be so: but he that is greatest among you, let him be as the younger; and he that is chief, as he that doth serve.",Luke 22:26
Amalgamated prophecies well interpreted with wit may describe God's conscience,General,Neutral,Reflective,Spirituality,Spiritual Prompt,78,5.9,There is always a GREAT place for you in God's plan; Some dreams cannot be readily interpreted without a clear sequel; Do not ‘force' your faith onto others for Allah/God guides with heart,"Prophesy therefore concerning the land of Israel, and say unto the mountains, and to the hills, to the rivers, and to the valleys, Thus saith the Lord God; Behold, I have spoken in my jealousy and in my fury, because ye have borne the shame of the heathen:",Ezekiel 36:6
Most anti-altruists would openly sacrifice their life for their mums - ponder...,General,Neutral,Reflective,General,Anytime Wisdom,80,6.0,"You may not think yourself evil, but ponder every time you put yourself ahead; Treating someone with no dignity in respect can make them ponder; A world without anti-heroes and evil is possible not devoid of purpose",Defend the poor and fatherless: do justice to the afflicted and needy.,Psalms 82:3
Evil's greatest fallacy is its capacity to feel love - true evil feels none so be very beware,"Love, Ethics",Serious,Reflective,Relationships,Anytime Wisdom,93,7.0,"Anyone with the capacity to love deserves some respect; You may not think yourself evil, but ponder every time you put yourself ahead; The power of love does not cure just any evil, and violence at times helps not either","See that none render evil for evil unto any man; but ever follow that which is good, both among yourselves, and to all men. ",I Thessalonians 5:15
"Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological",General,Neutral,Reflective,General,Anytime Wisdom,84,6.3,Racial equality would eliminate most beauty stereotypes; Never undermine someone on lesse you do no harm; Superstition may be deemed as nonsense but it may have a psychological butterfly effect,"Again, they are minished and brought low through oppression, affliction, and sorrow.",Psalms 107:39
"Thoughts put forth, even at in an impulse, at times convey much",General,Neutral,Reflective,General,Anytime Wisdom,63,4.7,"Possessive beeth it whom never let others divulge their thoughts; Art does not convey much about a person on lesse you know the person; Believe in yourself, but if unable to do so at times then rely on others",The thoughts of the diligent tend only to plenteousness; but of every one that is hasty only to want.,Proverbs 21:5
Few people know what ‘Feminist Ethics' are... It is about reason and recognizing physiological difference and similarities,General,Neutral,Reflective,Human Nature,Daily Motivation,122,9.2,"Learn what reason is; Everyone's idea of genuine love may differ, but similarities always persist; All people are born leaders; you just have to know your leadership style",For this cause God gave them up unto vile affections: for even their women did change the natural use into that which is against nature:,Romans 1:26
Backup plans will not always work so be prepared for the worst just in case,General,Neutral,Advisory,Life Advice,Anytime Wisdom,75,5.6,"Just because someone doesn't work does not mean they are stupid; If you cannot work around the standard times, then make work suit your schedules; There is nothing wrong with preparing too far ahead, but be prepared for deviation",Use hospitality one to another without grudging.,I Peter 4:9
Sheer will is a trait that often should be more appreciated than limiting physical or psychological characteristics,General,Neutral,Reflective,General,Anytime Wisdom,115,8.6,"Any job is an art form, it just has to be appreciated and emotionally expressed; Stereotypes are mostly erroneous and leads to demise, on lesse you get psychological; If incapable to make a difference project your sheer spirit",The thoughts of the diligent tend only to plenteousness; but of every one that is hasty only to want.,Proverbs 21:5
If you are going to pray or cast a spell do something that is not in the slightest sense evil,Ethics,Serious,Reflective,Ethics,Anytime Wisdom,93,7.0,Pray like you mean it; There was no sense in diversity in the past; If you are going to put up with flak be sure you have the brains to save yourself,Pray without ceasing.,I Thessalonians 5:17
Learn what reason is,General,Neutral,Reflective,General,Anytime Wisdom,20,1.5,You can't learn something new from just about anything; There are perks at every job; you just have to learn how to find them; Learn to do your research before committing to something,For which cause also I have been much hindered from coming to you.,Romans 15:22
Believe in second chances if with good measure but learn from mistakes,General,Neutral,Inspirational,General,Anytime Wisdom,70,5.3,Learn what reason is; Believe in the power of good because there is not much else to rely on; Learning from mistakes cuts short one side of our life,It is better to trust in the Lord than to put confidence in man.,Psalms 118:8
Observe the things you love as that tells you a lot about yourself,Love,Neutral,Reflective,Relationships,Anytime Wisdom,66,5.0,Perception may mean a lot; A lot of first impressions are made by irrational hearsay; Grow to love your identity,Keep thy heart with all diligence; for out of it are the issues of life.,Proverbs 4:23
"Never diss someone's favourite food, but maybe indulge them in yours",General,Neutral,Advisory,General,Anytime Wisdom,68,5.1,If it hurts for you to see someone else in pain then maybe you are not without hope; We can appreciate food better if we know what we are eating; A four colour BIC pen can indulge a child in so many ways,"Let them wander up and down for meat, and grudge if they be not satisfied.",Psalms 59:15
Lying does not make you a bad person provided it is for ‘harmless' fun and ethical,Humor,Neutral,Reflective,General,Lighthearted Moment,82,6.2,Art does not convey much about a person on lesse you know the person; Deranged is the person that cannot grasp the concept of ethical reason; It is always fun helping,"Behold, ye trust in lying words, that cannot profit.",Jeremiah 7:8
Working is just as hard for some people as enjoying a lazy time - whom to pity?,General,Uplifting,Reflective,Human Nature,Anytime Wisdom,79,5.9,"If your enemies give you a hard time it may be plausible to passively approach them, time and time again - tact is the key; The most unlikely people will remember you for the longest time; Great thinkers and doers may even be lazy","For we hear that there are some which walk among you disorderly, working not at all, but are busybodies.",II Thessalonians 3:11
